,Rob_I_T24,Rob_I_T24.1,Rob_I_T24.2,Rob_I_T24.3,Rob_I_T24.4,Rob_I_T24.5,Rob_I_T24.6,Rob_I_T24.7,Rob_I_T24.8,Rob_I_T24.9,Rob_I_T24.10,Rob_I_T24.11,Rob_M_T24,Rob_M_T24.1,Rob_M_T24.2,Rob_M_T24.3,Rob_M_T24.4,Rob_M_T24.5,Rob_M_T24.6,Rob_M_T24.7,Rob_M_T24.8,Rob_M_T24.9,Rob_M_T24.10,Rob_M_T24.11,Rob_I_T48,Rob_I_T48.1,Rob_I_T48.2,Rob_I_T48.3,Rob_I_T48.4,Rob_I_T48.5,Rob_I_T48.6,Rob_I_T48.7,Rob_I_T48.8,Rob_I_T48.9,Rob_I_T48.10,Rob_I_T48.11,Rob_M_T48,Rob_M_T48.1,Rob_M_T48.2,Rob_M_T48.3,Rob_M_T48.4,Rob_M_T48.5,Rob_M_T48.6,Rob_M_T48.7,Rob_M_T48.8,Rob_M_T48.9,Rob_M_T48.10,Rob_M_T48.11,Rob_I_T72,Rob_I_T72.1,Rob_I_T72.2,Rob_I_T72.3,Rob_I_T72.4,Rob_I_T72.5,Rob_I_T72.6,Rob_I_T72.7,Rob_I_T72.8,Rob_I_T72.9,Rob_I_T72.10,Rob_I_T72.11,Rob_M_T72,Rob_M_T72.1,Rob_M_T72.2,Rob_M_T72.3,Rob_M_T72.4,Rob_M_T72.5,Rob_M_T72.6,Rob_M_T72.7,Rob_M_T72.8,Rob_M_T72.9,Rob_M_T72.10,Rob_M_T72.11,Rob_M_T96,Rob_M_T96.1,Rob_M_T96.2,Rob_M_T96.3,Rob_M_T96.4,Rob_M_T96.5,Rob_M_T96.6,Rob_M_T96.7,Rob_M_T96.8,Rob_M_T96.9,Rob_M_T96.10,Rob_M_T96.11,Rob_I_T96,Rob_I_T96.1,Rob_I_T96.2,Rob_I_T96.3,Rob_I_T96.4,Rob_I_T96.5,Rob_I_T96.6,Rob_I_T96.7,Rob_I_T96.8,Rob_I_T96.9,Rob_I_T96.10,Rob_I_T96.11
C53H84O16P2_p1039.53113,0.00043,0.000297,0.00039,0.000479,0.000504,0.000611,0.000553,0.000613,0.000418,0.000585,0.000627,0.000793,5.23E-05,2.24E-05,6.47E-05,5.52E-05,4.02E-05,3.61E-06,3.07E-06,6.65E-05,8.12E-05,0.000101,7.94E-05,9.12E-05,0.000519,0.000582,5.00E-04,0.000567,0.000333,0.000486,0.00031,0.000288,0.000431,0.000473,0.000478,0.000627,9.98E-05,0.000116,8.55E-05,0.000109,0.000163,0.000173,0.00016,0.000166,0.000261,0.000414,0.000369,0.000438,0.000303,0.000349,0.00036,0.000572,0.00069,0.000992,0.001105293,0.00120865,0.000557,0.000695,0.000766,0.000799,0.000122,0.000149,0.000164,0.000133,8.02E-05,0.000136,3.56E-05,0.000173,0.000104,2.42E-05,8.02E-05,7.17E-05,1.56E-05,2.54E-05,2.72E-05,3.82E-05,4.19E-05,6.78E-05,8.96E-05,7.27E-05,0.00014,9.25E-05,0.000143,0.00018,0.000149,0.000152,0.000179,0.00023,0.000332,0.000373,0.000398,0.000419,0.000675,0.000877,0.000514,0.00052
C53H84O16P2_p1040.53406,0.000113,9.60E-05,0.000147,0.000155,0.000228,0.000144,0.00012,0.000179,0.000234,0.000139,0.000311,0.000287,1.42E-05,5.82E-06,2.26E-05,1.36E-05,0,0,1.94E-05,0,1.21E-06,5.52E-05,4.19E-05,4.22E-05,0.000196,0.000251,0.000173,0.000184,0.000117,3.50E-05,0.00014,7.41E-05,0.00017,0.000213,9.38E-05,0.000112,1.98E-05,1.86E-05,5.41E-05,2.75E-05,1.41E-05,0,6.58E-05,3.43E-05,4.69E-05,0.000139,0.000101,0.000137,8.71E-05,9.16E-05,0.000133,8.47E-05,7.80E-05,0.00036,0.000486,0.000498,5.95E-05,0.000304,0.000319,0.000243,6.45E-05,8.55E-05,6.45E-05,8.05E-05,3.50E-05,1.82E-05,1.67E-05,6.22E-05,4.56E-05,2.93E-05,6.15E-06,1.64E-05,9.89E-06,0,5.70E-06,3.00E-05,3.02E-05,9.82E-07,2.26E-05,2.80E-05,0,6.25E-06,5.22E-05,9.46E-05,4.90E-05,3.51E-05,3.01E-05,6.42E-05,0.000135,0.00015,9.25E-05,9.50E-05,0.000256,0.000276,0.000169,0.000216
C57H92O18P2_p1127.58374,0.000564,0.000466,0.000697,0.00087,0.000887,9.00E-04,0.00089,0.001010171,0.000931,0.000771,0.001277686,0.001251017,5.66E-05,4.11E-05,0.000142,0.000119,5.57E-05,0,5.88E-05,8.50E-05,8.51E-05,0.000106,9.35E-05,0.000108,0.00085,0.000914,0.000828,0.000864,0.000546,0.000563,0.000524,0.000474,0.000768,0.000901,0.000608,0.000883,0.000196,0.000208,0.000127,0.00013,0.00019,0.000158,0.000267,0.000271,0.000429,0.000643,0.000471,0.000675,0.000558,0.000535,0.000745,0.000331,0.001179405,0.001668489,0.001819364,0.002299766,0.001030145,0.001136358,0.001274916,0.001298818,7.87E-05,0.000119,6.45E-05,1.78E-06,0.000171,4.25E-05,0.000105,0.000179,5.04E-05,2.24E-05,0.000129,0.000137,5.26E-05,0,4.31E-05,0,5.70E-05,7.61E-05,0.000124,0.00014,0.000171,0.000208,0.00025,0.000216,0.000288,0.000266,0.00035,0.00041,0.000494,0.00065,0.00071,0.000764,0.001187254,0.001442411,0.000736,0.000887
C57H92O18P2_p1128.5874,0.000365,0.000326,0.000329,0.000426,0.000477,0.000527,0.000487,0.000516,0.00035,0.00054,0.000666,0.00076,3.48E-05,7.27E-06,3.86E-05,5.96E-05,0,0,0,8.45E-07,5.34E-05,3.37E-05,2.10E-05,0,0.000508,0.000435,0.000533,0.000568,0.000288,0.000409,0.00026,0.000297,0.000316,0.000516,0.000408,0.000493,9.41E-05,6.85E-05,3.66E-06,0,7.72E-05,6.26E-05,0.000122,0.000179,0.000168,0.000306,0.000299,0.000317,0.000223,0.000274,0.000387,0.000374,0.00064,0.000795,0.000836,0.001125048,0.000472,0.000596,0.000651,0.000722,0,9.41E-06,3.47E-06,0,2.23E-05,3.06E-05,5.43E-05,8.31E-05,3.76E-05,7.39E-06,7.58E-05,7.10E-05,0,0,0,0,0,0,3.17E-05,4.50E-05,3.98E-05,4.92E-05,0.000104,0.000114,0.000136,6.97E-05,8.73E-05,0.00016,0.00028,0.000337,0.00035,0.000401,0.000607,0.000645,0.000343,0.000441
C62H90O21_p1171.61035,0.000744,0.000768,0.000924,0.000949,0.001013591,0.001186563,0.001009403,0.001229549,0.000906,0.001100811,0.001383566,0.00164238,5.36E-05,0.000125,0.000233,0.000166,1.81E-06,2.84E-05,9.49E-06,5.07E-05,0.00015,0.000136,0.000165,0.000194,0.001121169,0.001248105,0.001058386,0.001159159,0.000661,0.000865,0.000644,0.000703,0.000813,0.000942,0.001084744,0.001256305,0.000256,0.000227,0.000181,0.000197,0.000278,0.000225,0.00031,0.000395,0.000441,0.00058,6.00E-04,0.000729,0.00057,0.000622,0.000905,0.000981,0.001517465,0.001725159,0.002133319,0.002570656,0.00114686,0.001319902,0.001458,0.001693748,4.72E-05,4.19E-05,0.000135,0.000116,0.000209,0.000244,0.000165,7.06E-05,4.46E-05,5.63E-05,0.000201,0.000211,4.16E-05,2.22E-05,6.78E-05,3.07E-05,1.18E-05,5.24E-05,0.000131,0.000216,0.000237,0.000146,0.000294,0.00031,0.000312,0.000331,0.00031,0.00043,0.000587,0.000688,0.000854,0.000945,0.001313116,0.001781226,0.000875,0.001071785
C62H90O21_p1172.61353,0.000331,0.000394,0.000413,0.000419,0.000526,0.000471,0.000471,0.000599,0.000479,0.00042,0.00071,0.000982,2.34E-05,3.10E-05,5.08E-05,4.86E-05,0,0,1.75E-05,0,6.04E-05,6.62E-06,3.72E-05,8.54E-05,0.00052,0.000614,0.000558,0.000645,0.000369,0.000327,0.000328,0.000311,0.000466,0.000566,0.000464,0.000622,0.000136,4.33E-05,3.52E-05,2.88E-05,4.54E-05,8.78E-05,1.00E-04,0.00015,0.000302,0.000374,0.000299,0.000309,0.00025,0.000337,0.000448,0.000355,0.000857,0.001006906,0.001185735,0.001372835,0.000571,0.000743,0.000763,0.000901,1.01E-05,0,0,0,9.20E-05,9.80E-05,7.31E-05,3.99E-05,2.53E-05,2.32E-05,4.76E-05,2.96E-05,0,0,1.08E-05,1.06E-06,0,0,2.13E-05,4.57E-05,9.25E-05,9.02E-05,0.00014,0.000108,0.000163,0.000178,0.000211,0.000127,0.000335,0.000341,0.000429,0.000399,0.000671,0.000808,0.000446,0.000659
C15H25NO11_p419.1355,1.05E-05,2.69E-05,1.28E-05,0,2.30E-05,6.93E-06,8.97E-07,0,1.58E-05,9.90E-06,6.97E-06,2.79E-06,8.71E-05,0.000111,7.62E-05,0.000103,9.41E-05,0.000102,6.81E-05,6.43E-05,3.50E-05,2.13E-05,0.000104,9.38E-05,2.04E-05,8.77E-06,1.52E-05,3.51E-05,2.38E-05,1.05E-05,3.69E-05,7.35E-05,2.80E-05,0,2.20E-05,0,2.00E-05,4.43E-05,5.98E-05,6.36E-05,3.10E-05,8.80E-06,2.50E-05,4.32E-05,6.84E-05,7.43E-05,7.87E-05,7.53E-05,3.91E-05,4.57E-05,2.03E-05,0,2.05E-05,7.85E-06,8.81E-06,0,0,2.35E-05,1.45E-05,3.08E-05,2.38E-05,2.32E-05,2.70E-05,6.39E-05,6.92E-05,2.75E-05,5.18E-05,3.82E-05,6.85E-05,0.000117,3.73E-05,9.79E-05,5.89E-05,8.75E-05,0.000122,0.000115,5.24E-05,7.56E-05,6.60E-05,6.32E-05,7.39E-05,8.21E-05,7.79E-05,0.000127,0.000109,0.000152,4.36E-05,7.68E-05,7.36E-05,5.71E-05,4.13E-06,1.89E-05,3.69E-05,3.57E-06,6.77E-05,7.00E-05
C42H67NO12P2_p421.21545,0,1.31E-05,1.56E-05,0,4.01E-06,7.11E-06,4.63E-06,0,3.61E-06,4.03E-05,0,1.00E-05,8.64E-05,0.000109,7.24E-05,6.60E-05,8.44E-05,0.00011,2.31E-05,6.48E-05,4.33E-05,3.07E-05,6.86E-05,6.27E-05,2.23E-05,1.32E-05,1.76E-05,3.95E-05,2.13E-05,3.04E-05,3.59E-05,4.99E-05,1.19E-05,0,5.75E-06,5.40E-06,5.60E-05,1.03E-05,4.32E-05,6.11E-05,1.48E-05,9.07E-06,0,2.62E-05,6.32E-05,0.000125,8.77E-05,8.22E-05,3.26E-05,2.90E-05,5.40E-06,0,6.74E-06,2.79E-05,4.02E-06,0,1.71E-05,0,4.45E-06,1.24E-05,6.42E-05,3.43E-05,1.56E-05,2.84E-05,6.42E-05,6.03E-05,4.59E-05,4.08E-05,3.53E-05,8.93E-05,0.000115,8.47E-05,5.42E-05,4.45E-05,0.000109,0.000117,5.10E-05,7.69E-05,4.06E-05,3.70E-05,8.46E-05,0.000119,7.96E-05,0.000115,0.000119,0.000135,5.54E-05,4.89E-05,7.68E-05,5.09E-05,8.73E-06,0,2.55E-05,2.81E-05,4.58E-05,9.73E-05
C25H50O3_p421.36606,0,1.78E-05,4.38E-06,0,8.83E-06,0,0,0,1.57E-05,3.04E-06,1.09E-05,1.09E-05,6.84E-05,6.62E-05,6.08E-05,5.51E-05,9.76E-05,0.000119,4.57E-05,4.65E-05,1.95E-05,4.95E-05,5.46E-05,8.34E-05,2.37E-05,5.34E-06,9.01E-06,3.14E-05,1.95E-05,1.62E-05,3.08E-05,6.23E-05,8.09E-06,0,4.84E-06,0,2.82E-05,3.78E-05,9.56E-05,4.56E-05,6.12E-07,1.50E-05,2.44E-06,2.71E-05,8.08E-05,9.22E-05,6.75E-05,6.94E-05,2.15E-05,4.00E-05,4.55E-06,7.71E-06,1.87E-05,1.77E-05,0,0,0,2.01E-05,1.25E-06,2.02E-05,3.45E-05,7.14E-05,4.00E-06,4.38E-05,2.27E-05,5.84E-05,4.40E-05,6.88E-05,7.51E-06,7.44E-05,7.96E-05,4.18E-05,4.88E-05,8.07E-05,0.000136,0.000141,8.85E-05,7.63E-05,5.16E-05,4.89E-05,6.23E-05,9.16E-05,9.08E-05,7.92E-05,0.000122,0.000137,4.80E-05,9.67E-05,8.73E-05,3.69E-05,0,0,2.19E-05,2.54E-05,4.45E-05,6.44E-05
C12O7P2S2_p422.82339,1.73E-05,3.02E-05,4.56E-06,6.53E-06,1.20E-05,3.35E-05,0,0,3.20E-05,4.62E-05,0,1.71E-05,6.54E-05,0.000105,5.69E-05,7.82E-05,9.49E-05,0.00012,5.42E-05,5.80E-05,4.02E-05,4.01E-05,7.35E-05,0.000102,1.30E-05,4.44E-06,8.21E-06,5.45E-05,3.91E-05,4.37E-05,7.96E-05,4.23E-05,1.34E-05,0,0,1.32E-05,2.22E-05,3.09E-05,7.38E-05,8.16E-05,2.71E-05,9.78E-06,9.05E-06,3.49E-05,0.000101,0.000114,7.31E-05,0.000132,2.64E-05,2.63E-05,0,5.72E-06,2.12E-05,1.32E-05,0,0,2.25E-05,2.05E-05,9.01E-06,1.90E-05,4.67E-05,5.37E-05,4.07E-05,3.02E-05,2.72E-05,3.87E-05,5.70E-05,8.63E-05,5.63E-05,0.000112,9.53E-05,7.75E-05,5.83E-05,0.000102,9.83E-05,0.000142,6.29E-05,7.79E-05,5.78E-05,3.02E-05,9.06E-05,0.000106,8.03E-05,9.99E-05,0.000114,0.000138,6.30E-05,0.000105,8.67E-05,6.04E-05,3.47E-06,0,6.51E-06,3.00E-05,7.40E-05,0.000113
